id,building_id,site_id,primary_use,square_feet,year_built,floor_count,meter,time_stamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
1299399,126,1,Education,21539,2004.0,5.0,0,2016-02-18 07:00:00,99.8,3.6,,2.8,,1011.9,310.0,2.1
19402553,113,1,Education,100481,1958.0,9.0,0,2016-12-06 08:00:00,353.5,4.6,,4.5,,1027.0,100.0,1.5
8621568,113,1,Education,100481,1958.0,9.0,0,2016-11-10 06:00:00,349.0,4.2,,4.0,,1006.3,200.0,2.1
14058571,105,1,Education,50623,,5.0,0,2016-05-28 22:00:00,58.3,14.7,0.0,10.3,,1014.0,30.0,3.6
15950432,121,1,Education,150318,1906.0,9.0,3,2016-08-04 16:00:00,200.0,22.3,,9.5,,1009.6,270.0,7.2
5381771,122,1,Education,83043,1991.0,6.0,0,2016-07-17 05:00:00,255.8,18.4,,16.7,,1022.8,230.0,3.1
3643123,114,1,Education,139683,1958.0,13.0,0,2016-05-16 02:00:00,720.8,9.5,,7.6,,1021.3,80.0,1.5
11875156,117,1,Education,15489,2004.0,4.0,0,2016-03-10 00:00:00,47.4,6.1,,5.8,,1010.2,360.0,2.1
17272975,125,1,Education,16802,1995.0,6.0,0,2016-09-21 03:00:00,146.8,15.3,,12.4,,1018.8,0.0,0.0
10266245,109,1,Education,56995,1953.0,6.0,3,2016-01-08 14:00:00,100.0,8.8,,5.3,,998.6,200.0,4.6
15753804,113,1,Education,100481,1958.0,9.0,3,2016-07-28 16:00:00,0.0,19.0,,15.3,,1012.9,210.0,6.2
17663783,114,1,Education,139683,1958.0,13.0,3,2016-10-04 23:00:00,0.0,13.3,0.0,10.4,,1030.0,90.0,5.1
4781897,106,1,Education,5374,,4.0,0,2016-06-25 19:00:00,0.7,16.6,,11.2,,1016.5,270.0,4.1
13224917,119,1,Education,91149,2007.0,7.0,0,2016-04-29 00:00:00,481.2,7.2,,5.7,,1009.0,250.0,5.7
14323860,112,1,Education,32206,,6.0,3,2016-06-07 10:00:00,0.0,21.6,,13.6,,1022.9,30.0,1.5
10336003,107,1,Education,97532,2005.0,10.0,0,2016-01-11 05:00:00,388.2,6.1,,5.0,,980.1,220.0,5.7
199624,109,1,Education,56995,1953.0,6.0,0,2016-01-08 15:00:00,207.9,8.4,0.0,5.4,,998.1,190.0,4.1
2300528,116,1,Education,37265,,5.0,0,2016-03-29 04:00:00,140.1,5.9,,4.0,,1000.4,240.0,6.7
1961348,111,1,Education,118338,1909.0,7.0,0,2016-03-15 18:00:00,424.0,7.9,,5.8,,1029.3,30.0,3.6
4020308,121,1,Education,150318,1906.0,9.0,3,2016-05-29 13:00:00,255.0,16.3,,10.6,,1013.6,10.0,4.6
7587588,124,1,Education,38319,1900.0,6.0,0,2016-10-04 13:00:00,75.3,18.5,,9.8,,1029.8,90.0,6.7
4880952,112,1,Education,32206,,6.0,0,2016-06-29 09:00:00,0.0,16.0,,11.5,,1010.3,210.0,7.7
16605377,125,1,Education,16802,1995.0,6.0,0,2016-08-28 10:00:00,184.8,18.2,,16.3,,1012.6,220.0,5.1
14775558,105,1,Education,50623,,5.0,0,2016-06-23 15:00:00,136.9,20.2,,19.9,,1015.7,220.0,2.6
8564248,124,1,Education,38319,1900.0,6.0,0,2016-11-08 05:00:00,17.2,-0.6,0.0,-1.1,,1012.9,270.0,3.1
12241854,126,1,Education,21539,2004.0,5.0,0,2016-03-24 11:00:00,120.4,9.7,,5.7,,1013.9,230.0,4.6
3101129,117,1,Education,15489,2004.0,4.0,3,2016-04-26 22:00:00,80.0,3.5,0.0,0.8,,1010.4,300.0,4.1
9272199,117,1,Education,15489,2004.0,4.0,0,2016-12-03 18:00:00,36.5,4.1,0.0,0.6,,1025.2,90.0,2.6
10643012,117,1,Education,15489,2004.0,4.0,3,2016-01-22 10:00:00,73.6,6.5,,6.1,,1015.2,150.0,4.6
18979402,113,1,Education,100481,1958.0,9.0,0,2016-11-20 20:00:00,352.8,5.9,,3.5,,995.6,70.0,1.5
17910790,106,1,Education,5374,,4.0,0,2016-10-13 17:00:00,0.7,12.0,,6.5,,1010.2,70.0,4.1
16389768,109,1,Education,56995,1953.0,6.0,0,2016-08-20 14:00:00,291.2,20.1,,10.6,,1006.4,210.0,10.8
1925093,106,1,Education,5374,,4.0,3,2016-03-14 07:00:00,20.0,4.9,,1.6,,1034.1,50.0,4.6
3746019,121,1,Education,150318,1906.0,9.0,3,2016-05-19 16:00:00,300.0,18.3,,9.9,,1012.3,210.0,6.7
773968,117,1,Education,15489,2004.0,4.0,0,2016-01-29 11:00:00,52.0,11.6,,7.8,,1018.0,230.0,9.8
4335185,108,1,Education,81580,1913.0,5.0,0,2016-06-09 17:00:00,400.0,22.3,0.0,11.1,,1019.0,60.0,2.6
7128411,116,1,Education,37265,,5.0,0,2016-09-18 05:00:00,162.4,14.3,,13.2,,1021.9,310.0,2.1
13636051,114,1,Education,139683,1958.0,13.0,3,2016-05-13 19:00:00,200.0,11.1,,6.7,,1014.2,10.0,5.1
13765350,106,1,Education,5374,,4.0,0,2016-05-18 12:00:00,0.7,12.7,,11.0,,1003.2,200.0,4.6
1319470,121,1,Education,150318,1906.0,9.0,3,2016-02-19 03:00:00,772.4,-0.2,0.0,-0.7,,1018.4,230.0,1.5
11301570,118,1,Education,138316,1960.0,8.0,0,2016-02-15 21:00:00,339.4,3.3,,0.2,,1034.0,340.0,2.6
12901981,117,1,Education,15489,2004.0,4.0,0,2016-04-17 11:00:00,47.4,9.3,,-0.6,,1016.5,320.0,3.1
2101795,116,1,Education,37265,,5.0,0,2016-03-21 10:00:00,195.9,10.0,,5.6,,1024.6,290.0,2.1
12841060,114,1,Education,139683,1958.0,13.0,0,2016-04-15 07:00:00,833.5,9.5,,8.9,,1002.2,10.0,1.0
19590995,117,1,Education,15489,2004.0,4.0,0,2016-12-13 00:00:00,38.8,10.1,,8.4,,1021.4,240.0,5.1
4730706,118,1,Education,138316,1960.0,8.0,0,2016-06-23 23:00:00,230.8,15.1,,14.0,,1016.8,260.0,4.6
2601695,125,1,Education,16802,1995.0,6.0,0,2016-04-09 02:00:00,138.3,8.2,,6.3,,1004.8,180.0,5.1
12535935,121,1,Education,150318,1906.0,9.0,3,2016-04-04 11:00:00,400.0,12.2,,6.6,,1002.0,170.0,5.7
12136567,120,1,Education,68211,1976.0,7.0,0,2016-03-20 04:00:00,142.3,5.9,,2.1,,1025.3,50.0,2.6
6322909,121,1,Education,150318,1906.0,9.0,0,2016-08-20 11:00:00,646.9,20.6,,13.0,,1006.0,210.0,8.8
13731371,115,1,Education,129716,1968.0,6.0,0,2016-05-17 06:00:00,455.3,9.6,0.0,7.5,,1018.3,260.0,1.5
13676251,109,1,Education,56995,1953.0,6.0,3,2016-05-15 06:00:00,0.0,7.8,,4.4,,1022.6,220.0,2.1
11562412,106,1,Education,5374,,4.0,0,2016-02-26 14:00:00,0.7,7.5,,-1.6,,1008.2,120.0,4.6
5954288,117,1,Education,15489,2004.0,4.0,3,2016-08-06 20:00:00,20.0,20.6,0.0,12.5,,1027.4,210.0,5.1
73072,112,1,Education,32206,,6.0,3,2016-01-03 18:00:00,190.0,8.2,,7.6,,984.2,210.0,4.6
3560751,119,1,Education,91149,2007.0,7.0,0,2016-05-13 04:00:00,477.0,11.3,,9.8,,1006.6,20.0,4.1
15369854,114,1,Education,139683,1958.0,13.0,3,2016-07-14 22:00:00,0.0,16.9,0.0,9.5,,1026.4,270.0,4.1
18945069,119,1,Education,91149,2007.0,7.0,3,2016-11-19 15:00:00,200.0,7.5,,2.8,,1001.2,180.0,3.6
5322915,126,1,Education,21539,2004.0,5.0,0,2016-07-15 03:00:00,129.6,12.5,,10.2,,1026.5,270.0,3.1
11983155,108,1,Education,81580,1913.0,5.0,0,2016-03-14 05:00:00,231.4,5.3,,2.2,,1033.9,60.0,4.1
17379302,106,1,Education,5374,,4.0,3,2016-09-24 23:00:00,0.0,18.7,0.0,11.0,,1010.8,160.0,4.1
11385563,106,1,Education,5374,,4.0,3,2016-02-19 07:00:00,20.0,0.6,0.0,-0.2,,1018.1,170.0,2.1
5022009,105,1,Education,50623,,5.0,0,2016-07-04 09:00:00,87.9,18.9,0.0,11.5,,1019.8,220.0,4.1
5987397,114,1,Education,139683,1958.0,13.0,3,2016-08-08 01:00:00,0.0,16.5,,12.0,,1020.4,250.0,5.1
12503056,119,1,Education,91149,2007.0,7.0,0,2016-04-03 07:00:00,498.3,7.7,,7.1,,1007.4,180.0,4.1
2433781,122,1,Education,83043,1991.0,6.0,0,2016-04-03 02:00:00,220.7,7.9,,7.9,,1005.7,180.0,2.6
9717471,116,1,Education,37265,,5.0,0,2016-12-19 18:00:00,175.6,6.7,,5.4,,1025.2,50.0,2.6
15152988,112,1,Education,32206,,6.0,0,2016-07-07 03:00:00,0.0,15.0,,10.3,,1020.8,210.0,2.1
19484169,109,1,Education,56995,1953.0,6.0,0,2016-12-09 05:00:00,197.7,11.7,,11.4,,1025.8,180.0,3.1
7868561,126,1,Education,21539,2004.0,5.0,0,2016-10-14 10:00:00,117.0,12.3,,7.7,,1006.5,70.0,2.6
7385860,106,1,Education,5374,,4.0,3,2016-09-27 09:00:00,0.0,18.0,,13.2,,1022.0,170.0,7.2
13392158,105,1,Education,50623,,5.0,0,2016-05-05 01:00:00,77.6,8.0,0.0,-1.4,,1023.4,130.0,0.5
10577859,109,1,Education,56995,1953.0,6.0,0,2016-01-20 00:00:00,200.7,-2.6,0.0,-4.2,,1019.2,300.0,1.0
10046933,113,1,Education,100481,1958.0,9.0,3,2016-12-31 08:00:00,30.0,4.2,,4.2,,1033.3,230.0,3.1
17121176,108,1,Education,81580,1913.0,5.0,0,2016-09-15 17:00:00,352.5,24.5,,17.6,,1008.5,170.0,4.6
1205457,114,1,Education,139683,1958.0,13.0,0,2016-02-14 12:00:00,798.5,6.2,,0.8,,996.1,30.0,6.2
8220564,108,1,Education,81580,1913.0,5.0,0,2016-10-27 00:00:00,210.8,10.1,0.0,9.9,,1031.1,270.0,2.6
8941965,119,1,Education,91149,2007.0,7.0,0,2016-11-21 19:00:00,538.4,10.9,,8.8,,987.4,170.0,4.6
3579445,119,1,Education,91149,2007.0,7.0,0,2016-05-13 20:00:00,518.0,10.1,,5.4,,1015.0,40.0,5.7
9187133,124,1,Education,38319,1900.0,6.0,0,2016-11-30 12:00:00,80.5,3.6,0.0,-1.1,,1035.7,300.0,1.0
9864868,116,1,Education,37265,,5.0,0,2016-12-24 23:00:00,144.6,9.9,,6.1,,1026.0,240.0,8.2
14990279,110,1,Education,27814,2006.0,8.0,0,2016-07-01 06:00:00,317.1,14.5,,13.0,,1008.9,260.0,5.7
14238045,124,1,Education,38319,1900.0,6.0,0,2016-06-04 08:00:00,39.0,13.8,,12.7,,1017.3,360.0,2.1
67656,119,1,Education,91149,2007.0,7.0,0,2016-01-03 13:00:00,457.0,8.9,,8.2,,987.0,150.0,8.2
17668668,119,1,Education,91149,2007.0,7.0,3,2016-10-05 03:00:00,200.0,13.0,0.0,8.6,,1029.6,90.0,5.1
19340446,108,1,Education,81580,1913.0,5.0,0,2016-12-03 20:00:00,250.0,4.3,0.0,0.5,,1025.4,70.0,2.6
4683243,107,1,Education,97532,2005.0,10.0,0,2016-06-22 06:00:00,336.0,15.6,,14.0,,1019.1,150.0,1.5
4053709,106,1,Education,5374,,4.0,0,2016-05-30 17:00:00,0.7,17.5,,11.7,,1015.2,340.0,5.1
14548844,110,1,Education,27814,2006.0,8.0,0,2016-06-15 15:00:00,342.1,16.5,,13.5,,996.9,190.0,4.1
11846971,117,1,Education,15489,2004.0,4.0,0,2016-03-08 22:00:00,47.4,7.3,,6.9,,1006.0,180.0,6.2
11320051,113,1,Education,100481,1958.0,9.0,3,2016-02-16 14:00:00,79.9,7.4,0.0,-1.0,,1033.5,170.0,5.7
5652075,122,1,Education,83043,1991.0,6.0,0,2016-07-26 21:00:00,284.0,19.6,,13.1,,1019.6,260.0,5.1
4305221,111,1,Education,118338,1909.0,7.0,0,2016-06-08 15:00:00,572.4,21.1,,15.1,,1023.6,320.0,1.5
11487098,105,1,Education,50623,,5.0,0,2016-02-23 11:00:00,129.1,7.8,,2.4,,1017.5,310.0,4.1
3318241,112,1,Education,32206,,6.0,0,2016-05-04 14:00:00,42.9,16.8,0.0,4.6,,1025.9,180.0,4.6
12430531,106,1,Education,5374,,4.0,3,2016-03-31 18:00:00,18.9,11.1,0.0,1.4,,1016.8,320.0,1.5
1679026,126,1,Education,21539,2004.0,5.0,0,2016-03-04 11:00:00,119.6,5.9,0.0,-1.8,,991.3,260.0,5.7
496283,126,1,Education,21539,2004.0,5.0,0,2016-01-19 09:00:00,62.6,-1.0,,-2.4,,1016.9,40.0,0.5
8041324,113,1,Education,100481,1958.0,9.0,3,2016-10-20 15:00:00,59.7,13.2,,7.5,,1020.8,340.0,3.6
7556565,109,1,Education,56995,1953.0,6.0,0,2016-10-03 11:00:00,271.9,15.8,0.0,5.7,,1029.6,80.0,2.6
829083,106,1,Education,5374,,4.0,3,2016-01-31 12:00:00,0.0,9.4,,9.3,,1005.9,220.0,5.7
7776996,117,1,Education,15489,2004.0,4.0,3,2016-10-11 05:00:00,0.0,5.8,,5.0,,1023.6,330.0,2.6
15799750,106,1,Education,5374,,4.0,3,2016-07-30 07:00:00,0.0,16.2,,13.0,,1013.3,330.0,2.6
3773705,123,1,Education,61204,1989.0,6.0,0,2016-05-20 16:00:00,141.6,18.4,,10.4,,1014.4,210.0,5.7
17872251,115,1,Education,129716,1968.0,6.0,0,2016-10-12 08:00:00,543.4,10.9,,9.7,,1021.5,20.0,1.5
19498475,109,1,Education,56995,1953.0,6.0,3,2016-12-09 17:00:00,100.0,12.3,0.0,9.0,,1024.5,210.0,3.6
326022,121,1,Education,150318,1906.0,9.0,3,2016-01-13 05:00:00,854.7,2.6,0.0,0.5,,1014.2,260.0,4.6
15558276,113,1,Education,100481,1958.0,9.0,0,2016-07-21 15:00:00,440.8,25.0,,12.3,,1016.2,250.0,3.6
5273207,108,1,Education,81580,1913.0,5.0,0,2016-07-13 09:00:00,231.0,15.8,,9.4,,1017.8,330.0,4.6
13083111,108,1,Education,81580,1913.0,5.0,0,2016-04-23 22:00:00,214.0,7.8,,-1.1,,1021.0,280.0,2.1
6381008,113,1,Education,100481,1958.0,9.0,0,2016-08-22 12:00:00,437.3,23.6,,15.0,,1023.3,220.0,7.2
19529211,109,1,Education,56995,1953.0,6.0,3,2016-12-10 19:00:00,0.0,12.1,,11.3,,1017.0,210.0,7.2
17596694,108,1,Education,81580,1913.0,5.0,0,2016-10-02 14:00:00,276.0,16.7,,7.0,,1018.1,300.0,3.6
5759997,108,1,Education,81580,1913.0,5.0,0,2016-07-30 19:00:00,237.1,21.1,,9.3,,1013.9,320.0,2.6
1271778,114,1,Education,139683,1958.0,13.0,0,2016-02-17 05:00:00,679.3,3.1,,-0.8,,1022.1,160.0,3.6
17525286,117,1,Education,15489,2004.0,4.0,3,2016-09-30 02:00:00,0.0,12.0,,8.7,,1013.4,230.0,3.6
19889176,114,1,Education,139683,1958.0,13.0,3,2016-12-23 13:00:00,355.8,10.8,,7.8,,1024.4,200.0,8.2
4206231,114,1,Education,139683,1958.0,13.0,3,2016-06-05 03:00:00,100.0,12.0,,11.9,,1019.7,30.0,2.6
4143974,105,1,Education,50623,,5.0,0,2016-06-02 22:00:00,68.0,10.1,,7.7,,1020.4,20.0,5.7
762690,112,1,Education,32206,,6.0,0,2016-01-29 01:00:00,23.3,9.6,,7.9,,1021.3,220.0,9.3
9487611,122,1,Education,83043,1991.0,6.0,0,2016-12-11 15:00:00,238.4,9.7,,6.8,,1025.4,260.0,5.1
8680885,114,1,Education,139683,1958.0,13.0,0,2016-11-12 09:00:00,866.2,8.8,,8.1,,1015.8,150.0,3.6
15913518,117,1,Education,15489,2004.0,4.0,3,2016-08-03 08:00:00,22.5,19.1,,13.7,,1008.4,250.0,7.2
15182433,121,1,Education,150318,1906.0,9.0,0,2016-07-08 05:00:00,561.5,15.1,,13.2,,1014.5,210.0,4.1
15466991,121,1,Education,150318,1906.0,9.0,0,2016-07-18 09:00:00,749.5,21.2,,15.1,,1022.5,290.0,1.5
20030129,112,1,Education,32206,,6.0,0,2016-12-28 14:00:00,88.7,8.0,0.0,4.1,,1041.9,140.0,3.6
755902,106,1,Education,5374,,4.0,0,2016-01-28 19:00:00,0.7,7.7,,3.6,,1023.4,210.0,7.2
19007571,105,1,Education,50623,,5.0,0,2016-11-21 20:00:00,98.2,10.6,,8.3,,987.3,150.0,3.6
435872,116,1,Education,37265,,5.0,0,2016-01-17 05:00:00,138.8,0.3,,0.0,,1027.2,100.0,2.6
17362307,107,1,Education,97532,2005.0,10.0,0,2016-09-24 08:00:00,72.0,16.7,0.0,13.6,,1019.4,150.0,3.6
13507851,121,1,Education,150318,1906.0,9.0,0,2016-05-09 04:00:00,548.0,14.7,,8.8,,1007.6,90.0,3.1
141735,115,1,Education,129716,1968.0,6.0,0,2016-01-06 11:00:00,509.8,5.8,,5.7,,996.9,330.0,2.6
7699536,113,1,Education,100481,1958.0,9.0,3,2016-10-08 12:00:00,38.7,14.7,,10.7,,1026.4,30.0,2.6
18997985,113,1,Education,100481,1958.0,9.0,0,2016-11-21 12:00:00,476.0,11.6,,11.1,,986.7,80.0,4.6
11194234,122,1,Education,83043,1991.0,6.0,0,2016-02-11 12:00:00,378.6,6.5,,1.5,,1004.7,200.0,2.1
17235767,105,1,Education,50623,,5.0,0,2016-09-19 19:00:00,84.1,15.6,,14.8,,1021.7,310.0,1.0
5456934,117,1,Education,15489,2004.0,4.0,3,2016-07-19 22:00:00,20.0,24.5,0.0,16.7,,1012.7,90.0,4.1
11590105,118,1,Education,138316,1960.0,8.0,0,2016-02-27 15:00:00,350.4,5.7,,-3.9,,1011.7,60.0,6.7
9059457,112,1,Education,32206,,6.0,0,2016-11-25 23:00:00,74.7,6.3,0.0,4.5,,1021.2,50.0,2.6
802635,121,1,Education,150318,1906.0,9.0,0,2016-01-30 12:00:00,562.0,7.9,,1.3,,1009.8,290.0,6.2
13356045,114,1,Education,139683,1958.0,13.0,3,2016-05-03 18:00:00,200.0,13.7,,3.1,,1026.5,270.0,3.1
8166695,121,1,Education,150318,1906.0,9.0,0,2016-10-25 01:00:00,494.5,10.2,,8.0,,1018.7,40.0,1.0
9951623,124,1,Education,38319,1900.0,6.0,0,2016-12-28 00:00:00,22.5,-0.2,,-1.0,,1045.2,0.0,0.0
17822143,106,1,Education,5374,,4.0,0,2016-10-10 13:00:00,0.7,13.6,,4.1,,1025.4,360.0,3.6
17524177,114,1,Education,139683,1958.0,13.0,0,2016-09-30 01:00:00,727.6,11.8,,8.4,,1014.2,240.0,4.6
17018379,111,1,Education,118338,1909.0,7.0,0,2016-09-12 02:00:00,345.6,10.8,0.0,10.0,,1013.8,140.0,2.1
1087130,123,1,Education,61204,1989.0,6.0,0,2016-02-09 20:00:00,128.5,4.3,,2.4,,988.3,250.0,7.7
15934367,109,1,Education,56995,1953.0,6.0,0,2016-08-04 02:00:00,311.1,15.8,,12.1,,1007.8,230.0,7.2
19172483,109,1,Education,56995,1953.0,6.0,0,2016-11-27 16:00:00,182.8,8.2,,3.9,,1025.6,40.0,3.1
12757045,107,1,Education,97532,2005.0,10.0,0,2016-04-12 08:00:00,387.2,8.5,,6.9,,1007.3,220.0,1.5
2176038,110,1,Education,27814,2006.0,8.0,0,2016-03-24 07:00:00,296.1,5.9,,3.6,,1014.8,230.0,2.1
2908156,114,1,Education,139683,1958.0,13.0,0,2016-04-20 01:00:00,833.5,6.8,0.0,4.3,,1030.8,60.0,2.6
11752623,122,1,Education,83043,1991.0,6.0,0,2016-03-05 04:00:00,255.0,-0.6,,-1.2,,996.1,310.0,1.0
6188112,114,1,Education,139683,1958.0,13.0,3,2016-08-15 15:00:00,0.0,23.9,0.0,10.3,,1023.2,100.0,4.1
11605889,117,1,Education,15489,2004.0,4.0,3,2016-02-28 06:00:00,34.0,2.8,,-1.1,,1018.1,30.0,5.1
13428109,106,1,Education,5374,,4.0,3,2016-05-06 08:00:00,10.0,14.9,,8.1,,1012.1,90.0,2.1
2763632,121,1,Education,150318,1906.0,9.0,3,2016-04-14 22:00:00,850.8,10.3,,8.2,,1006.2,180.0,2.1
4708426,118,1,Education,138316,1960.0,8.0,0,2016-06-23 04:00:00,225.8,18.0,,18.0,,1015.8,60.0,1.5
12969146,106,1,Education,5374,,4.0,0,2016-04-19 21:00:00,0.7,9.4,0.0,4.7,,1030.5,80.0,5.7
5643038,109,1,Education,56995,1953.0,6.0,0,2016-07-26 13:00:00,311.1,21.9,,11.4,,1021.0,240.0,3.6
7014366,114,1,Education,139683,1958.0,13.0,3,2016-09-14 04:00:00,0.0,20.5,0.0,16.7,,1008.1,60.0,2.1
16440809,121,1,Education,150318,1906.0,9.0,0,2016-08-22 10:00:00,752.5,20.8,,15.0,,1023.1,220.0,7.7
10604823,125,1,Education,16802,1995.0,6.0,0,2016-01-21 00:00:00,143.1,0.0,0.0,-1.6,,1021.9,80.0,2.1
19763267,106,1,Education,5374,,4.0,3,2016-12-19 02:00:00,0.0,5.2,,4.5,,1031.4,300.0,2.1
12087281,108,1,Education,81580,1913.0,5.0,0,2016-03-18 05:00:00,231.4,2.8,,1.6,,1027.2,10.0,3.6
16414060,115,1,Education,129716,1968.0,6.0,0,2016-08-21 11:00:00,434.8,19.8,,12.4,,1016.5,260.0,8.2
15030564,117,1,Education,15489,2004.0,4.0,0,2016-07-02 17:00:00,50.5,18.6,,10.3,,1014.3,270.0,5.1
19896105,113,1,Education,100481,1958.0,9.0,3,2016-12-23 19:00:00,30.0,11.1,,10.3,,1019.1,210.0,8.8
15186032,121,1,Education,150318,1906.0,9.0,0,2016-07-08 08:00:00,714.5,17.9,,13.4,,1015.0,240.0,7.2
1874771,105,1,Education,50623,,5.0,0,2016-03-12 06:00:00,75.1,4.0,,3.7,,1029.8,350.0,1.0
9704120,114,1,Education,139683,1958.0,13.0,0,2016-12-19 07:00:00,822.5,4.6,,4.3,,1028.7,300.0,1.5
10860622,110,1,Education,27814,2006.0,8.0,0,2016-01-30 06:00:00,287.4,8.1,,6.8,,1008.3,250.0,9.3
12124766,111,1,Education,118338,1909.0,7.0,0,2016-03-19 17:00:00,424.0,7.8,,2.9,,1025.9,50.0,4.6
6695954,113,1,Education,100481,1958.0,9.0,0,2016-09-02 20:00:00,361.5,16.9,,16.2,,1018.4,210.0,4.1
14344976,116,1,Education,37265,,5.0,0,2016-06-08 04:00:00,154.6,15.4,,14.8,,1023.2,340.0,1.5
9817368,119,1,Education,91149,2007.0,7.0,0,2016-12-23 07:00:00,466.8,6.4,,6.1,,1029.5,180.0,4.1
17910801,113,1,Education,100481,1958.0,9.0,3,2016-10-13 17:00:00,50.0,12.0,,6.5,,1010.2,70.0,4.1
15570343,119,1,Education,91149,2007.0,7.0,0,2016-07-22 01:00:00,584.0,18.0,,14.5,,1017.9,330.0,2.1
14457465,117,1,Education,15489,2004.0,4.0,0,2016-06-12 05:00:00,37.0,14.3,,13.0,,1009.0,200.0,3.6
3430624,112,1,Education,32206,,6.0,3,2016-05-08 14:00:00,100.0,25.9,0.0,9.3,,1006.4,140.0,5.1
8913509,123,1,Education,61204,1989.0,6.0,0,2016-11-20 19:00:00,146.2,6.2,,3.6,,995.9,350.0,1.0
14207613,114,1,Education,139683,1958.0,13.0,0,2016-06-03 06:00:00,782.8,9.2,,7.6,,1018.2,30.0,4.6
9297084,121,1,Education,150318,1906.0,9.0,0,2016-12-04 17:00:00,8.3,4.6,0.0,-0.8,,1023.3,90.0,4.1
4295989,109,1,Education,56995,1953.0,6.0,0,2016-06-08 07:00:00,331.8,17.6,,17.2,,1023.9,320.0,2.1
19062198,106,1,Education,5374,,4.0,0,2016-11-23 18:00:00,11.0,8.9,,6.9,,1019.3,30.0,4.6
11489194,114,1,Education,139683,1958.0,13.0,3,2016-02-23 13:00:00,300.0,7.7,,2.0,,1017.9,360.0,3.6
16429378,112,1,Education,32206,,6.0,3,2016-08-22 00:00:00,0.0,17.3,,15.7,,1021.0,220.0,5.1
4180457,123,1,Education,61204,1989.0,6.0,0,2016-06-04 05:00:00,99.4,12.6,,12.3,,1016.7,350.0,1.5
9945473,121,1,Education,150318,1906.0,9.0,3,2016-12-27 19:00:00,649.2,2.1,,0.6,,1045.1,0.0,0.0
12628302,115,1,Education,129716,1968.0,6.0,0,2016-04-07 18:00:00,476.3,8.2,,6.0,,1010.7,290.0,4.1
